Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,108.0,108.05,107.06,107.77,3477599.0,0.0,1.0,105.65298128982045,105.70189470708425,104.7334090452609,105.42797957040693,3477599.0
2017-12-27,108.42,108.55,107.455,107.64,5624037.0,0.0,1.0,106.06385399483642,106.19102887972231,105.11982504164497,105.30080468552104,5624037.0
2017-12-26,108.49,109.37,107.89,108.12,3982398.0,0.0,1.0,106.13233277900574,106.99320892284874,105.54537177184008,105.7703734912536,3982398.0
2017-12-22,109.4,109.685,108.45,108.67,7377990.0,0.0,1.0,107.02255697320702,107.30136345161071,106.0932020451947,106.30842108115544,7377990.0
2017-12-21,109.52,111.09,109.1892,109.57,9366706.0,0.0,1.0,107.13994917464014,108.67583047672365,106.8163380060228,107.18886259190394,9366706.0
2017-12-20,111.625,112.3,109.69,109.69,8661018.0,0.0,1.0,109.19920404144636,109.85953517450774,107.30625479333709,107.30625479333709,8661018.0
2017-12-19,111.05,112.39,110.77,111.81,10546010.0,0.0,1.0,108.6366997429126,109.9475793255826,108.36278460623528,109.38018368532245,10546010.0
2017-12-18,111.85,111.99,110.305,111.03,12269462.0,0.0,1.0,109.41931441913349,109.55627198747214,107.9078898256819,108.61713437600709,12269462.0
2017-12-15,111.805,112.0,110.6,111.27,19975645.0,0.0,1.0,109.37529234359607,109.56605467092491,108.19647898753834,108.85191877887334,19975645.0
2017-12-14,107.75,111.54,107.2,110.57,27569243.0,0.0,1.0,105.40841420350142,109.1160512320979,104.87036661359956,108.16713093718006,27569243.0
2017-12-13,108.15,108.19,106.75,107.61,10363604.0,0.0,1.0,105.79972154161187,105.83885227542291,104.4301458582253,105.27145663516276,10363604.0
2017-12-12,107.6,107.83,106.585,107.43,8132464.0,0.0,1.0,105.26167395171,105.4866756711235,104.26873158125474,105.09536833301307,8132464.0
